Records Lost Range,$10K,$100K,$1M,$10M,$100M,$1B
100 - 1K,0.852,0.554,0.219,0.046,0.005,0.000
1K - 10K,0.907,0.660,0.309,0.080,0.011,0.001
10K - 100K,0.945,0.755,0.413,0.129,0.021,0.002
100K - 500K,0.970,0.833,0.522,0.197,0.039,0.004
500K - 1M,0.974,0.850,0.550,0.216,0.044,0.004
1M - 5M,0.982,0.884,0.616,0.272,0.065,0.008
5M -10M,0.986,0.901,0.649,0.300,0.076,0.010
10M - 50M,0.991,0.927,0.712,0.367,0.108,0.017
50M - 100M,0.993,0.940,0.743,0.401,0.124,0.020
100M - 500M,0.996,0.957,0.796,0.473,0.167,0.031
500M - 1B,0.997,0.966,0.823,0.509,0.189,0.037
1B - 5B,0.998,0.977,0.864,0.581,0.245,0.056
5B - 10B,0.999,0.982,0.885,0.617,0.273,0.065